t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
126,linucb_frozen,hard,C,0.75,0.8446660903771239,1003.6102263072256,0.35,0,0,0.48,0.0
127,linucb_frozen,simple,B,0.95,0.7965934097726569,556.4566500587241,0.1,0,0,0.48,0.0
128,linucb_frozen,simple,B,0.95,1.0,632.800599583979,0.1,1,0,0.5,1.0
129,linucb_frozen,simple,B,0.95,1.0,730.7280183395516,0.1,1,0,0.5,1.0
130,linucb_frozen,hard,D,0.55,0.6164783818288659,530.6749480289623,0.22,1,0,0.5,1.0
131,linucb_frozen,hard,D,0.55,0.842500976009402,720.4713039068258,0.22,1,0,0.5,1.0
132,linucb_frozen,simple,B,0.95,0.9814719999999999,614.8315475138684,0.1,1,0,0.5,1.0
133,linucb_frozen,simple,B,0.95,1.0,744.9406407638018,0.1,1,0,0.52,1.0
134,linucb_frozen,hard,D,0.55,0.8741408251230791,568.1336402193747,0.22,1,0,0.54,1.0
135,linucb_frozen,hard,D,0.55,1.0,848.3867250458782,0.22,1,0,0.54,1.0
136,linucb_frozen,hard,D,0.55,1.0,897.8835677807441,0.22,1,0,0.56,1.0
137,linucb_frozen,simple,B,0.95,0.8996953599999999,546.5722269415901,0.1,1,0,0.58,1.0
138,linucb_frozen,simple,B,0.95,1.0,621.0948236660065,0.1,1,0,0.6,1.0
139,linucb_frozen,hard,D,0.55,0.9814719999999999,775.464329672107,0.22,0,0,0.6,0.0
140,linucb_frozen,hard,D,0.55,1.0,738.5116475600138,0.22,0,0,0.58,0.0
141,linucb_frozen,hard,D,0.55,1.0,812.0534809742489,0.22,1,0,0.58,1.0
142,linucb_frozen,hard,D,0.55,1.0,828.7420242065633,0.22,0,0,0.56,0.0
143,linucb_frozen,simple,B,0.95,0.8277319167999999,613.653752019279,0.1,1,0,0.58,1.0
144,linucb_frozen,hard,D,0.55,1.0,803.5942791002406,0.22,0,0,0.56,0.0
145,linucb_frozen,hard,D,0.55,1.0,761.013577140967,0.22,1,0,0.56,1.0
146,linucb_frozen,hard,D,0.55,1.0,777.3018205540048,0.22,0,0,0.54,0.0
147,linucb_frozen,simple,B,0.95,0.796386989828866,496.69775851644977,0.1,1,0,0.56,1.0
148,linucb_frozen,hard,C,0.75,0.3507345539903537,678.0497949656798,0.35,1,0,0.56,1.0
149,linucb_frozen,hard,E,0.9,0.3131647021079937,807.4157249462314,0.6,0,0,0.54,0.0
150,linucb_frozen,simple,B,0.95,0.8427154347326571,622.4876992865446,0.1,0,0,0.54,0.0
151,linucb_frozen,hard,D,0.55,0.8277319167999999,690.3395389161831,0.22,1,0,0.54,1.0
152,linucb_frozen,hard,D,0.55,1.0,740.486997070573,0.22,0,0,0.54,0.0
153,linucb_frozen,hard,D,0.55,1.0,770.436297285507,0.22,0,0,0.54,0.0
154,linucb_frozen,hard,D,0.55,1.0,838.0266533591235,0.22,1,0,0.56,1.0
155,linucb_frozen,hard,D,0.55,1.0,825.7999306226611,0.22,0,0,0.56,0.0
156,linucb_frozen,hard,D,0.55,1.0,1018.5199349202775,0.22,0,0,0.56,0.0
157,linucb_frozen,hard,C,0.75,0.4109999040983362,619.9929068983205,0.35,0,0,0.54,0.0
158,linucb_frozen,hard,E,0.9,0.39910985816905675,874.1770171764771,0.6,0,0,0.52,0.0
159,linucb_frozen,hard,C,0.75,0.6182783257337515,789.6415694382987,0.35,0,0,0.5,0.0
160,linucb_frozen,hard,C,0.75,0.8440849266457013,905.1480104661641,0.35,0,0,0.48,0.0
161,linucb_frozen,hard,C,0.75,1.0,1207.4933181979172,0.35,0,0,0.48,0.0
162,linucb_frozen,hard,C,0.75,1.0,1182.1604973788253,0.35,0,0,0.46,0.0
163,linucb_frozen,simple,B,0.95,0.45993948241705507,454.1518801879514,0.1,1,0,0.46,1.0
164,linucb_frozen,simple,B,0.95,0.7047467445270085,517.4250877564103,0.1,1,0,0.46,1.0
165,linucb_frozen,hard,D,0.55,0.6164783818288659,567.6461755982986,0.22,1,0,0.48,1.0
166,linucb_frozen,hard,E,0.9,0.443533684187831,916.4071988234922,0.6,1,0,0.48,1.0
167,linucb_frozen,hard,D,0.55,0.7774008588882738,708.9120022862552,0.22,1,0,0.48,1.0
168,linucb_frozen,hard,D,0.55,0.9841127558216809,787.0946722224745,0.22,1,0,0.5,1.0
169,linucb_frozen,hard,D,0.55,1.0,798.6993150315394,0.22,0,0,0.5,0.0
170,linucb_frozen,simple,B,0.95,0.6272872683060623,403.0749052334329,0.1,1,0,0.52,1.0
171,linucb_frozen,hard,D,0.55,1.0,750.40846157546,0.22,1,0,0.54,1.0
172,linucb_frozen,hard,D,0.55,1.0,988.0456004741258,0.22,1,0,0.54,1.0
173,linucb_frozen,simple,B,0.95,0.7274787093070689,463.57036161870235,0.1,1,0,0.56,1.0
174,linucb_frozen,simple,B,0.95,0.9401812641902207,566.8865299931103,0.1,1,0,0.58,1.0
175,linucb_frozen,hard,D,0.55,0.9814719999999999,858.3237432469057,0.22,0,0,0.58,0.0
176,linucb_frozen,hard,D,0.55,1.0,763.153302218805,0.22,1,0,0.6,1.0
177,linucb_frozen,hard,D,0.55,1.0,802.281916122684,0.22,1,0,0.62,1.0
178,linucb_frozen,hard,D,0.55,1.0,838.2632076782706,0.22,1,0,0.62,1.0
179,linucb_frozen,hard,D,0.55,1.0,825.8529073564648,0.22,0,0,0.6,0.0
180,linucb_frozen,simple,B,0.95,0.7366240214076861,601.9743096256269,0.1,0,0,0.58,0.0
181,linucb_frozen,hard,D,0.55,1.0,880.4815769718314,0.22,0,0,0.56,0.0
182,linucb_frozen,simple,B,0.95,0.870441642178112,599.8401434716635,0.1,1,0,0.56,1.0
183,linucb_frozen,hard,C,0.75,0.36825525840160683,571.9107500824982,0.35,0,0,0.54,0.0
184,linucb_frozen,hard,E,0.9,0.34442369785414084,759.1047893773936,0.6,0,0,0.52,0.0
185,linucb_frozen,hard,D,0.55,0.8996953599999999,828.5588846033547,0.22,1,0,0.52,1.0
186,linucb_frozen,simple,B,0.95,0.821999813964994,606.0332858458779,0.1,1,0,0.52,1.0
187,linucb_frozen,hard,D,0.55,0.9967240867839999,833.0802230098305,0.22,1,0,0.52,1.0
188,linucb_frozen,hard,D,0.55,1.0,863.0853008652971,0.22,0,0,0.5,0.0
189,linucb_frozen,hard,D,0.55,1.0,962.8769337296181,0.22,1,0,0.52,1.0
190,linucb_frozen,hard,D,0.55,1.0,837.2790372044361,0.22,0,0,0.52,0.0
191,linucb_frozen,hard,D,0.55,1.0,901.670021523977,0.22,0,0,0.5,0.0
192,linucb_frozen,hard,D,0.55,1.0,910.0766239137437,0.22,0,0,0.5,0.0
193,linucb_frozen,simple,B,0.95,0.6359312641881073,494.7177342111453,0.1,1,0,0.5,1.0
194,linucb_frozen,hard,C,0.75,0.390252315019189,595.054014231982,0.35,0,0,0.5,0.0
195,linucb_frozen,simple,B,0.95,0.7924651709872703,569.9131899490022,0.1,0,0,0.48,0.0
196,linucb_frozen,hard,E,0.9,0.37428225700858,916.9034242176665,0.6,0,0,0.48,0.0
197,linucb_frozen,hard,D,0.55,0.8277319167999999,705.6604947815478,0.22,1,0,0.48,1.0
198,linucb_frozen,simple,B,0.95,0.8400428250030372,652.8662815909564,0.1,1,0,0.48,1.0
199,linucb_frozen,simple,B,0.95,1.0,609.3488326196176,0.1,1,0,0.5,1.0
200,linucb_frozen,simple,B,0.95,1.0,784.0057406098557,0.1,1,0,0.52,1.0
201,linucb_frozen,simple,B,0.95,1.0,657.5600627485236,0.1,1,0,0.52,1.0
202,linucb_frozen,simple,B,0.95,1.0,696.5945834685299,0.1,1,0,0.54,1.0
203,linucb_frozen,hard,D,0.55,0.6844020849234738,616.2296250295161,0.22,0,0,0.54,0.0
204,linucb_frozen,hard,C,0.75,0.4086856506227728,575.9757389451411,0.35,0,0,0.52,0.0
205,linucb_frozen,hard,E,0.9,0.41845224304533113,922.7920461681445,0.6,0,0,0.52,0.0
206,linucb_frozen,hard,D,0.55,0.7664008576169696,597.943375066945,0.22,1,0,0.54,1.0
207,linucb_frozen,hard,D,0.55,0.9744327547029332,788.5620364598187,0.22,0,0,0.54,0.0
208,linucb_frozen,hard,D,0.55,1.0,711.5244122001559,0.22,1,0,0.56,1.0
209,linucb_frozen,simple,B,0.95,0.70867559636992,557.7328872690528,0.1,0,0,0.56,0.0
210,linucb_frozen,hard,D,0.55,1.0,814.6127969645321,0.22,1,0,0.58,1.0
211,linucb_frozen,simple,B,0.95,0.848798381828866,667.8045361207754,0.1,1,0,0.6,1.0
212,linucb_frozen,hard,D,0.55,1.0,818.6332097577636,0.22,0,0,0.6,0.0
213,linucb_frozen,hard,D,0.55,1.0,804.4365197711874,0.22,0,0,0.58,0.0
214,linucb_frozen,simple,B,0.95,0.878432330861681,669.2541221352401,0.1,1,0,0.58,1.0
215,linucb_frozen,simple,B,0.95,1.0,697.2748577623366,0.1,1,0,0.58,1.0
216,linucb_frozen,hard,C,0.75,0.3881417066375491,642.0205412069773,0.35,0,0,0.56,0.0
217,linucb_frozen,simple,B,0.95,1.0,644.9572007931542,0.1,1,0,0.56,1.0
218,linucb_frozen,hard,E,0.9,0.37941830944411015,940.6837248418311,0.6,0,0,0.54,0.0
219,linucb_frozen,hard,D,0.55,0.764404086784,736.9814975468154,0.22,0,0,0.54,0.0
220,linucb_frozen,simple,B,0.95,0.9814719999999999,611.7512537104352,0.1,1,0,0.54,1.0
221,linucb_frozen,hard,C,0.75,0.5048347668338571,688.3758224785627,0.35,0,0,0.52,0.0
222,linucb_frozen,hard,C,0.75,0.7442545948137942,831.2667253657694,0.35,0,0,0.5,0.0
223,linucb_frozen,simple,B,0.95,0.9688456867839998,666.0313181219167,0.1,1,0,0.5,1.0
224,linucb_frozen,hard,C,0.75,0.8763507582238022,974.3311360366769,0.35,0,0,0.48,0.0
225,linucb_frozen,hard,C,0.75,1.0,1021.5493066900091,0.35,0,0,0.48,0.0
226,linucb_frozen,hard,C,0.75,1.0,1129.2918346526765,0.35,0,0,0.46,0.0
227,linucb_frozen,simple,B,0.95,0.881012262920378,552.5346487519237,0.1,0,0,0.44,0.0
228,linucb_frozen,hard,D,0.55,0.5419173684487724,519.3539697809415,0.22,0,0,0.42,0.0
229,linucb_frozen,simple,B,0.95,0.9822558964055408,545.314683868332,0.1,1,0,0.44,1.0
230,linucb_frozen,hard,E,0.9,0.3818295853377195,778.8921045729758,0.6,0,0,0.44,0.0
231,linucb_frozen,hard,D,0.55,0.6693015129115218,549.8571144502229,0.22,1,0,0.46,1.0
232,linucb_frozen,hard,D,0.55,0.8889853313621392,711.8638043120873,0.22,0,0,0.44,0.0
233,linucb_frozen,hard,D,0.55,1.0,779.6545473963337,0.22,1,0,0.46,1.0
234,linucb_frozen,hard,D,0.55,1.0,852.4040113855209,0.22,0,0,0.46,0.0
235,linucb_frozen,hard,D,0.55,1.0,821.6105093497964,0.22,0,0,0.44,0.0
236,linucb_frozen,simple,B,0.95,0.7014240142514048,466.0016382286714,0.1,1,0,0.44,1.0
237,linucb_frozen,hard,D,0.55,1.0,828.7311210950412,0.22,1,0,0.44,1.0
238,linucb_frozen,hard,D,0.55,1.0,908.4403206717767,0.22,0,0,0.44,0.0
239,linucb_frozen,hard,D,0.55,1.0,826.3570068365001,0.22,0,0,0.42,0.0
240,linucb_frozen,hard,D,0.55,1.0,868.1223670646124,0.22,0,0,0.42,0.0
241,linucb_frozen,hard,D,0.55,1.0,841.1451984897742,0.22,1,0,0.44,1.0
242,linucb_frozen,hard,D,0.55,1.0,829.9825383665615,0.22,0,0,0.44,0.0
243,linucb_frozen,simple,B,0.95,0.5866548773323761,487.10756527512103,0.1,1,0,0.44,1.0
244,linucb_frozen,hard,E,0.9,0.3637715519206438,867.5482929485142,0.6,0,0,0.44,0.0
245,linucb_frozen,simple,B,0.95,0.7543055370061921,507.60404065154927,0.1,1,0,0.46,1.0
246,linucb_frozen,hard,C,0.75,0.37756279363818956,679.5371547888226,0.35,0,0,0.46,0.0
247,linucb_frozen,hard,E,0.9,0.547900127030465,1043.1206534097817,0.6,0,0,0.44,0.0
248,linucb_frozen,hard,E,0.9,0.7821521117868091,1320.2980288853482,0.6,0,0,0.42,0.0
249,linucb_frozen,hard,E,0.9,0.9882938583723919,1553.3877444969391,0.6,0,0,0.4,0.0
250,linucb_frozen,hard,E,0.9,1.0,1550.0915161820558,0.6,0,0,0.38,0.0
251,linucb_frozen,simple,B,0.95,0.6503025740694753,495.6430720011059,0.1,1,0,0.38,1.0
252,linucb_frozen,hard,E,0.9,1.0,1473.3616636908976,0.6,0,0,0.36,0.0
253,linucb_frozen,hard,E,0.9,1.0,1603.6897787059972,0.6,0,0,0.36,0.0
254,linucb_frozen,simple,B,0.95,0.7431629957562735,523.7185823805654,0.1,0,0,0.36,0.0
255,linucb_frozen,simple,B,0.95,0.9539834362655206,658.8200771224612,0.1,1,0,0.38,1.0
256,linucb_frozen,hard,D,0.55,0.46701574306830973,518.4935466769696,0.22,0,0,0.36,0.0
257,linucb_frozen,hard,E,0.9,0.8996953599999999,1410.6137954053775,0.6,0,0,0.36,0.0
258,linucb_frozen,hard,E,0.9,1.0,1534.1097593604277,0.6,0,0,0.34,0.0
259,linucb_frozen,simple,B,0.95,0.8720994402452884,658.8589687651623,0.1,1,0,0.36,1.0
260,linucb_frozen,simple,B,0.95,1.0,638.5075671960761,0.1,1,0,0.36,1.0
261,linucb_frozen,simple,B,0.95,1.0,839.8583684484367,0.1,1,0,0.36,1.0
262,linucb_frozen,hard,E,0.9,0.8996953599999999,1300.4351235064285,0.6,0,0,0.36,0.0
263,linucb_frozen,hard,E,0.9,1.0,1603.1082563085045,0.6,0,0,0.36,0.0
264,linucb_frozen,simple,B,0.95,0.9814719999999999,639.9992013619357,0.1,1,0,0.36,1.0
265,linucb_frozen,simple,B,0.95,1.0,636.2447997054315,0.1,1,0,0.36,1.0
266,linucb_frozen,hard,D,0.55,0.43006434025628043,482.715019259154,0.22,1,0,0.38,1.0
267,linucb_frozen,simple,B,0.95,1.0,688.4193527261687,0.1,1,0,0.38,1.0
268,linucb_frozen,hard,E,0.9,0.8277319167999999,1245.2399993210995,0.6,0,0,0.38,0.0
269,linucb_frozen,hard,E,0.9,1.0,1638.1760863600366,0.6,0,0,0.38,0.0
270,linucb_frozen,simple,B,0.95,0.9814719999999999,755.4857493439468,0.1,1,0,0.38,1.0
271,linucb_frozen,hard,E,0.9,1.0,1626.6211970416432,0.6,0,0,0.38,0.0
272,linucb_frozen,hard,E,0.9,1.0,1716.481652321927,0.6,0,0,0.38,0.0
273,linucb_frozen,simple,B,0.95,0.9688456867839998,601.2529659006616,0.1,1,0,0.38,1.0
